sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
n0	0	0	0				
2025.EXT.0529.1200.500_Bin	1	0	0	0.00619255			
n2	2	8	G	0.00619255	1		
2024.EXT.0725.2046.110_Bmi	2.1	8	G	0.000235886		#ff0033	
n4	2.2	C	O	1.14650e-05	87		
2024.EXT.0725.2137.140_Bpi_Thailand	2.2.1	C	O	0.000460562			
n6	2.2.2	E	S	4.72260e-06	100		
n7	2.2.2.1	E	S	9.98330e-06	100		
n8	2.2.2.1.1	E0	S	0.000193915	100		
n9	2.2.2.1.1.1	E0	S0	0.000452392	100		
n10	2.2.2.1.1.1.1	E0	S0	3.79523e-05	100		
n11	2.2.2.1.1.1.1.1	E0	S0	3.06000e-08	83		
n12	2.2.2.1.1.1.1.1.1	E00	S0	2.72705e-05	100	#ff3333	
n13	2.2.2.1.1.1.1.1.1.1	E00	S0	3.06000e-08	51	#ff3333	
n14	2.2.2.1.1.1.1.1.1.1.1	E00	S00	3.67717e-05	100	#ff3333	
n15	2.2.2.1.1.1.1.1.1.1.1.1	E00	S00	9.17300e-07	99	#ff3333	
n16	2.2.2.1.1.1.1.1.1.1.1.1.1	E000	S00	1.52890e-06	99	#ff3333	
2024.EXT.0725.1323.200_Bsu_Germany	2.2.2.1.1.1.1.1.1.1.1.1.1.1	E000	S00	1.07025e-05		#ff3333	
n18	2.2.2.1.1.1.1.1.1.1.1.1.1.2	E004	S02	9.17300e-07	96	#ff3333	
n19	2.2.2.1.1.1.1.1.1.1.1.1.1.2.1	E004	S02	9.17300e-07	99	#ff3333	
n20	2.2.2.1.1.1.1.1.1.1.1.1.1.2.1.1	E004	S020	4.89250e-06	100	#ff3333	
2024.EXT.0725.1756.140_Bsu_Slovenia	2.2.2.1.1.1.1.1.1.1.1.1.1.2.1.1.1	E0040	S020	1.10082e-05		#ff3333	
2024.EXT.0725.2159.560_Bsu_Czech_Republic	2.2.2.1.1.1.1.1.1.1.1.1.1.2.1.1.2	E0048	S028	3.66940e-06		#ff3333	
2024.EXT.0725.2218.430_Bsu_France	2.2.2.1.1.1.1.1.1.1.1.1.1.2.1.2	E005	S02G	9.47930e-06		#ff3333	
n24	2.2.2.1.1.1.1.1.1.1.1.1.1.2.2	E006	S03	4.58670e-06	100	#ff3333	
2024.EXT.0725.2240.440_Bsu_Italy	2.2.2.1.1.1.1.1.1.1.1.1.1.2.2.1	E006	S030	3.66940e-06		#ff3333	
2024.EXT.0725.2257.180_Bsu	2.2.2.1.1.1.1.1.1.1.1.1.1.2.2.2	E007	S03G	7.95040e-06		#ff3333	
n27	2.2.2.1.1.1.1.1.1.1.1.1.2	E008	S04	4.28090e-06	100	#ff3333	
2024.EXT.0725.2048.280_Bsu	2.2.2.1.1.1.1.1.1.1.1.1.2.1	E008	S04	1.83470e-06		#ff3333	
2024.EXT.0725.2200.370_Bsu	2.2.2.1.1.1.1.1.1.1.1.1.2.2	E00C	S06	1.19256e-05		#ff3333	
2025.EXT.0403.1410.100_Bsu	2.2.2.1.1.1.1.1.1.1.1.2	E01	S08	1.77732e-05		#ff3333	
2024.EXT.0725.2153.200_Bsu_Germany	2.2.2.1.1.1.1.1.1.1.2	E02	S0G	5.30115e-05		#ff3333	
n32	2.2.2.1.1.1.1.1.1.2	E04	S1	3.18672e-05	100	#ff3333	
2024.EXT.0725.2143.170_Bsu_Belgium	2.2.2.1.1.1.1.1.1.2.1	E04	S10	3.36360e-06		#ff3333	
n34	2.2.2.1.1.1.1.1.1.2.2	E06	S1G	3.06000e-08	62	#ff3333	
2024.EXT.0725.2144.110_Bsu_Belgium	2.2.2.1.1.1.1.1.1.2.2.1	E06	S1G	5.80990e-06		#ff3333	
