sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	polytomy	color	hilight	root_color
n0	0				true					
n1	1	0	b16:.b0	b32:.b0	true	0.0				
n2	1.1	0.0	b16:.q0	b32:.q0	true	452.0				
n3	1.1.1	0.0.0	b16:.o0	b32:.o0	true	267.0				
n4	1.1.1.1	0.0.0.0	b16:0	b32:.h0	true	165.0				
n5	1.1.1.1.1	0.0.0.0.0	b16:0.b0	b32:0	true	14.0				
n6	1.1.1.1.1.1	0.0.0.0.0.0	b16:0.q0	b32:0.b0	true	45.0				
n7	1.1.1.1.1.1.1	0.0.0.0.0.0.0	b16:0.o0	b32:0.q0	true	60.0				
n8	1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0	b16:00	b32:0.o0	true	130.0				
n9	1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0	b16:00.b0	b32:0.h0	true	3.0				
n10	1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0	b16:00.q0	b32:00	true	1.0				
n11	1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0	b16:00.o0	b32:00.b0	true	3.0	3			
n12	1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0	b16:000	b32:00.q0	true	2.0	3			
n13	1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.b0	b32:00.o0	true	2.0				
n14	1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.q0	b32:00.h0	true	2.0	5			
n15	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.o0	b32:000	true	16.0				
n16	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000	b32:000.b0	true	1.0				
n17	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.b0	b32:000.q0	true	2.0				
n18	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.q0	b32:000.o0		5.0	5	#006666	{366,72.0,#ffffcc}	#006666
n19	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.o0	b32:000.h0	true	1.0	3	#006666	{215,72.0,#f0f0f0}	
n20	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000	b32:0000		4.0		#99ccff	{210,72.0,#ccccff}	#99ccff
n373	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1	b16:0000.o1	b32:000.h1	true	1.0	8	#006666		
n374	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	b16:00002	b32:0002		9.0		#ff0000	{100,114.0,#ffcc99}	#ff0000
n663	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1	b16:0001	b32:000.b1	true	1.0	3			
n664	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	b16:0001.b0	b32:000.q2		15.0	11	#006633	{18,203.0,#ccffcc}	#006633
n691	1.1.1.1.1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.0.0.0.0.1	b16:000.o1	b32:001	true	0.0				
n692	1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	b16:0002	b32:001.b0	true	11.0				
n1021	1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1.2	0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.1	b16:0002.b1	b32:001.q1		1.0	4	#ff9966	{72,129.0,#ff9966}	#ff9966
n1181	1.1.1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.0.0.1	b16:000.b1	b32:00.o1		5.0		#ff9900	{24,198.0,#ff9900}	#ff9900
n1247	1.1.1.1.1.1.1.1.1.1.1.3	0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	b16:000.o2	b32:002		28.0	8	#009966	{8,222.0,#ccffcc}	#009966
n1256	1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.1	b16:00.o1	b32:00.b1	true	15.0				
n1257	1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.1.0	b16:002	b32:00.q2	true	6.0				
n1258	1.1.1.1.1.1.1.1.1.1.2.1.1	0.0.0.0.0.0.0.0.0.0.1.0.0	b16:002.b0	b32:00.o4	true	3.0				
n1259	1.1.1.1.1.1.1.1.1.1.2.1.1.1	0.0.0.0.0.0.0.0.0.0.1.0.0.0	b16:002.q0	b32:00.h8	true	10.0				
n1260	1.1.1.1.1.1.1.1.1.1.2.1.1.1.1	0.0.0.0.0.0.0.0.0.0.1.0.0.0.0	b16:002.o0	b32:00G	true	11.0	4			
n1261	1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.0	b16:0020	b32:00G.b0		7.0	5	#ff0099	{144,137.0,#ff66cc}	#ff0099
n1475	1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1	b16:0021	b32:00G.b1		9.0	3	#6666ff	{17,166.0,#9999ff}	#6666ff
n1513	1.1.1.1.1.1.1.1.1.1.2.1.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.0.1	b16:002.o1	b32:00H		1.0		#660099	{37,184.0,#660099}	#660099
n1565	1.1.1.1.1.1.1.1.1.1.2.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.1	b16:002.q1	b32:00.h9		14.0		#3333ff	{20,190.0,#3333ff}	#3333ff
n1595	1.1.1.1.1.1.1.1.1.1.2.1.2	0.0.0.0.0.0.0.0.0.0.1.0.1	b16:002.b1	b32:00.o5	true	3.0				
n1596	1.1.1.1.1.1.1.1.1.1.2.1.2.1	0.0.0.0.0.0.0.0.0.0.1.0.1.0	b16:002.q2	b32:00.ha	true	3.0				
n1597	1.1.1.1.1.1.1.1.1.1.2.1.2.1.1	0.0.0.0.0.0.0.0.0.0.1.0.1.0.0	b16:002.o4	b32:00K		9.0	4	#ff3366	{91,176.0,#ffcccc}	#ff3366
n1735	1.1.1.1.1.1.1.1.1.1.2.1.2.1.2	0.0.0.0.0.0.0.0.0.0.1.0.1.0.1	b16:002.o5	b32:00L		16.0		#9999ff	{13,165.0,#9999ff}	#9999ff
n1755	1.1.1.1.1.1.1.1.1.1.2.1.2.2	0.0.0.0.0.0.0.0.0.0.1.0.1.1	b16:002.q3	b32:00.hb		4.0		#333333	{36,158.0,#f0f0f0}	#333333
n1995	1.1.1.1.1.2	0.0.0.0.0.1	b16:0.q1	b32:0.b1	true	30.0				
n1996	1.1.1.1.1.2.1	0.0.0.0.0.1.0	b16:0.o2	b32:0.q2	true	92.0				
n1997	1.1.1.1.1.2.1.1	0.0.0.0.0.1.0.0	b16:04	b32:0.o4		64.0		#ccccff	{55,202.0,#ccccff}	#ccccff
n2082	1.1.1.1.1.2.1.2	0.0.0.0.0.1.0.1	b16:05	b32:0.o5	true	22.0				
n2083	1.1.1.1.1.2.1.2.1	0.0.0.0.0.1.0.1.0	b16:05.b0	b32:0.ha	true	2.0				
n2084	1.1.1.1.1.2.1.2.1.1	0.0.0.0.0.1.0.1.0.0	b16:05.q0	b32:0K		41.0		#ff9999	{31,137.0,#ff9999}	#ff9999
