sample	hier_label	hier_label2	hier_label16	hier_label32	branch_length	color	hilight	root_color
n18	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	00000	0000	5.0	#006666	{366,72.0,#ffffcc}	#006666
n20	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	00000	0000	4.0	#99ccff	{210,72.0,#ccccff}	#99ccff
n374	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	00002	0002	9.0	#ff0000	{100,114.0,#ffcc99}	#ff0000
n664	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	00010	000G	15.0	#006633	{18,203.0,#ccffcc}	#006633
n1021	1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1.2	0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.1	00028	0018	1.0	#ff9966	{72,129.0,#ff9966}	#ff9966
n1181	1.1.1.1.1.1.1.1.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.0.0.1	0008	004	5.0	#ff9900	{24,198.0,#ff9900}	#ff9900
n1247	1.1.1.1.1.1.1.1.1.1.1.3	0.0.0.0.0.0.0.0.0.0.0.0.0.1.0	0004	002	28.0	#009966	{8,222.0,#ccffcc}	#009966
n1261	1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.0	0020	00G0	7.0	#ff0099	{144,137.0,#ff66cc}	#ff0099
n1475	1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1	0021	00GG	9.0	#6666ff	{17,166.0,#9999ff}	#6666ff
n1513	1.1.1.1.1.1.1.1.1.1.2.1.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.0.1	0022	00H	1.0	#660099	{37,184.0,#660099}	#660099
n1565	1.1.1.1.1.1.1.1.1.1.2.1.1.2	0.0.0.0.0.0.0.0.0.0.1.0.0.1	0024	00I	14.0	#3333ff	{20,190.0,#3333ff}	#3333ff
n1597	1.1.1.1.1.1.1.1.1.1.2.1.2.1.1	0.0.0.0.0.0.0.0.0.0.1.0.1.0.0	0028	00K	9.0	#ff3366	{91,176.0,#ffcccc}	#ff3366
n1735	1.1.1.1.1.1.1.1.1.1.2.1.2.1.2	0.0.0.0.0.0.0.0.0.0.1.0.1.0.1	002A	00L	16.0	#9999ff	{13,165.0,#9999ff}	#9999ff
n1755	1.1.1.1.1.1.1.1.1.1.2.1.2.2	0.0.0.0.0.0.0.0.0.0.1.0.1.1	002C	00M	4.0	#333333	{36,158.0,#f0f0f0}	#333333
n1997	1.1.1.1.1.2.1.1	0.0.0.0.0.1.0.0	04	0G	64.0	#ccccff	{55,202.0,#ccccff}	#ccccff
n2084	1.1.1.1.1.2.1.2.1.1	0.0.0.0.0.1.0.1.0.0	050	0K	41.0	#ff9999	{31,137.0,#ff9999}	#ff9999
