sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	_pt_highlight	user_colour	root_color	polytomy
n0	0				true					
n1	1	0	b16:0	b32:0	true	0				
n2	1.1	0.0	b16:.q0	b32:.q0	true	632	#dc322f			
n3	1.1.1	0.0.0	b16:.o0	b32:.o0	true	9				
n4	1.1.1.1	0.0.0.0	b16:0	b32:.h0	true	19				
KX394397.1	1.1.1.1.1	0.0.0.0.0	b16:0.b0	b32:0		2		#dc322f	#dc322f	
n88	1.2	0.1	b16:.q1	b32:.q1	true	522				
n89	1.2.1	0.1.0	b16:.o2	b32:.o2	true	87	#268bd2			
n90	1.2.1.1	0.1.0.0	b16:4	b32:.h4	true	128				3
JX041628.1	1.2.1.1.1	0.1.0.0.0	b16:4.b0	b32:8		5		#268bd2	#268bd2	
n101	1.2.2	0.1.1	b16:.o3	b32:.o3	true	110				
n105	1.2.2.2	0.1.1.1	b16:7	b32:.h7	true	31				
n106	1.2.2.2.1	0.1.1.1.0	b16:7.b0	b32:E	true	70	#cb4b16			
n107	1.2.2.2.1.1	0.1.1.1.0.0	b16:7.q0	b32:E.b0	true	111				
KC601756.1	1.2.2.2.1.1.1	0.1.1.1.0.0.0	b16:7.o0	b32:E.q0		127		#cb4b16	#cb4b16	
n119	1.2.2.2.2	0.1.1.1.1	b16:7.b1	b32:F	true	1				
n123	1.2.2.2.2.2	0.1.1.1.1.1	b16:7.q3	b32:F.b1	true	28				
n124	1.2.2.2.2.2.1	0.1.1.1.1.1.0	b16:7.o6	b32:F.q2	true	137	#d33682			
MW915462.1	1.2.2.2.2.2.1.1	0.1.1.1.1.1.0.0	b16:7C	b32:F.o4		126		#d33682	#d33682	
n129	1.2.2.2.2.2.2	0.1.1.1.1.1.1	b16:7.o7	b32:F.q3	true	61				
n131	1.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1	b16:7F	b32:F.o7	true	40				
n133	1.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1	b16:7F.b1	b32:F.hf	true	2				3
n134	1.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0	b16:7F.q2	b32:FU	true	11	#6c71c4			
KY703854.1	1.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0	b16:7F.o4	b32:FU.b0		52		#6c71c4	#6c71c4	
n137	1.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1	b16:7F.q3	b32:FV	true	17				
n139	1.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1	b16:7F.o7	b32:FV.b1	true	15	#b58900			
n140	1.2.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.1.0	b16:7FE	b32:FV.q2	true	47				
KU588135.1	1.2.2.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.1.1.0.0	b16:7FE.b0	b32:FV.o4		96		#b58900	#b58900	
n152	1.2.2.2.2.2.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0	b16:7F9.b0	b32:FU.o2	true	19				
n154	1.2.2.2.2.2.2.2.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1	b16:7F9.q1	b32:FU.h5	true	1				3
n157	1.2.2.2.2.2.2.2.2.3.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0	b16:7F94.q2	b32:FUA.o2	true	7				
n158	1.2.2.2.2.2.2.2.2.3.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0	b16:7F94.o4	b32:FUA.h4	true	5	#859900			
n159	1.2.2.2.2.2.2.2.2.3.2.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0	b16:7F948	b32:FUA8	true	105				
JN858069.1	1.2.2.2.2.2.2.2.2.3.2.3.1.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0.0	b16:7F948.b0	b32:FUA8.b0		3		#859900	#859900	
n174	1.2.2.2.2.2.2.2.2.3.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1	b16:7F94.o5	b32:FUA.h5	true	3				
n180	1.2.2.2.2.2.2.2.2.3.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1	b16:7F94B	b32:FUAB	true	29				
n182	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1	b16:7F94B.b1	b32:FUAB.b1	true	2				3
n183	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0	b16:7F94B.q2	b32:FUAB.q2	true	67	#3cb44b			
DQ786573.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B.o4	b32:FUAB.o4		0		#3cb44b	#3cb44b	
n186	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1	b16:7F94B.q3	b32:FUAB.q3	true	28	#4363d8			
PX051445.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B.o6	b32:FUAB.o6		75		#4363d8	#4363d8	
n197	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0	b16:7F94B9.b0	b32:FUABI	true	5				
n198	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0	b16:7F94B9.q0	b32:FUABI.b0	true	2				
n200	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1	b16:7F94B9.o1	b32:FUABI.q1	true	2				
n201	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0	b16:7F94B92	b32:FUABI.o2	true	39	#f58231			
2025.EXT.1106.1850.2211	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.0	b16:7F94B92.b0	b32:FUABI.h4		89		#f58231	#f58231	
n228	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1	b16:7F94B93	b32:FUABI.o3	true	17				
n230	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1	b16:7F94B93.b1	b32:FUABI.h7	true	5				
n231	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0	b16:7F94B93.q2	b32:FUABIE	true	38	#911eb4			4
JF719065.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0	b16:7F94B93.o4	b32:FUABIE.b0		0		#911eb4	#911eb4	
n256	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1	b16:7F94B93.q3	b32:FUABIF	true	28				
n257	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0	b16:7F94B93.o6	b32:FUABIF.b0	true	43	#42d4f4			
MW835358.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.0	b16:7F94B93C	b32:FUABIF.q0		1		#42d4f4	#42d4f4	
n270	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1	b16:7F94B93.o7	b32:FUABIF.b1	true	38	#f032e6			
n271	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0	b16:7F94B93E	b32:FUABIF.q2	true	5				
OM302319.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.0	b16:7F94B93E.b0	b32:FUABIF.o4		11		#f032e6	#f032e6	
n304	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1	b16:7F94B9.q1	b32:FUABI.b1	true	29				3
n305	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0	b16:7F94B9.o2	b32:FUABI.q2	true	65	#bfef45			
OM302322.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0	b16:7F94B94	b32:FUABI.o4		0		#bfef45	#bfef45	
n308	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1	b16:7F94B9.o3	b32:FUABI.q3	true	4				
n310	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1	b16:7F94B97	b32:FUABI.o7	true	3				
n311	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.0	b16:7F94B97.b0	b32:FUABI.he	true	10	#fabed4			
MT863559.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.0.0	b16:7F94B97.q0	b32:FUABIS		45		#fabed4	#fabed4	
n316	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1	b16:7F94B97.b1	b32:FUABI.hf	true	24				
n317	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.0	b16:7F94B97.q2	b32:FUABIU	true	19	#469990			
2025.EXT.1106.1850.2214	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.0.0	b16:7F94B97.o4	b32:FUABIU.b0		86		#469990	#469990	
n333	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.1	b16:7F94B97.q3	b32:FUABIV	true	11	#a8d8a8			3
n334	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.1.0	b16:7F94B97.o6	b32:FUABIV.b0	true	9				
2026.EXT.0225.1251.220	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.1.0.0	b16:7F94B97C	b32:FUABIV.q0		86		#a8d8a8	#a8d8a8	
n383	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0	b16:7F94B94.q2	b32:FUABII	true	1				
n384	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.0	b16:7F94B94.o4	b32:FUABII.b0	true	10	#f4a8a8			
ON813214.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.0.0	b16:7F94B948	b32:FUABII.q0		1		#f4a8a8	#f4a8a8	
n401	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1	b16:7F94B94.o5	b32:FUABII.b1	true	27				
n402	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.0	b16:7F94B94A	b32:FUABII.q2	true	57	#a8c8f4			
2025.EXT.1106.1850.225	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.0.0	b16:7F94B94A.b0	b32:FUABII.o4		97		#a8c8f4	#a8c8f4	
n405	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1	b16:7F94B94B	b32:FUABII.q3	true	8				
n406	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.0	b16:7F94B94B.b0	b32:FUABII.o6	true	9	#f4d4a8			
PP445046.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.0.0	b16:7F94B94B.q0	b32:FUABII.hc		52		#f4d4a8	#f4d4a8	
n411	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1	b16:7F94B94B.b1	b32:FUABII.o7	true	67	#d4a8f4			3
n412	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0	b16:7F94B94B.q2	b32:FUABII.he	true	2				
OP609796.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B94B.o4	b32:FUABIIS		2		#d4a8f4	#d4a8f4	
n417	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1	b16:7F94B94B.q3	b32:FUABII.hf	true	2	#4e79a7			20
OP609799.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B94B.o6	b32:FUABIIU		1		#4e79a7	#4e79a7	
n455	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0	b16:7F94B94B9.b0	b32:FUABIIS.q2	true	1				3
n459	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1	b16:7F94B94B9.q1	b32:FUABIIS.o5	true	6	#e15759			
n460	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0	b16:7F94B94B9.o2	b32:FUABIIS.ha	true	3				
2023.TE.25159.1.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0	b16:7F94B94B94	b32:FUABIISK		1		#e15759	#e15759	
