sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	_pt_highlight	user_colour	root_color	polytomy
n0	0	0	b16:0	b32:0	true					
n1	1	0	b16:0	b32:0	true	0				
n2	1.1	0.0	b16:.q0	b32:.q0	true	632	#dc322f			
n3	1.1.1	0.0.0	b16:.o0	b32:.o0	true	9				
n4	1.1.1.1	0.0.0.0	b16:0	b32:.h0	true	19				
KX394397.1	1.1.1.1.1	0.0.0.0.0	b16:0.b0	b32:0		2		#dc322f	#dc322f	
KX394398.1	1.1.1.1.2	0.0.0.0.1	b16:0.b1	b32:1		0		#dc322f		
n7	1.1.1.2	0.0.0.1	b16:1	b32:.h1		3				
n8	1.1.1.2.1	0.0.0.1.0	b16:1.b0	b32:2		35				
GQ851602.1	1.1.1.2.1.1	0.0.0.1.0.0	b16:1.q0	b32:2.b0		2		#dc322f		
KX394396.1	1.1.1.2.1.2	0.0.0.1.0.1	b16:1.q1	b32:2.b1		3		#dc322f		
n11	1.1.1.2.2	0.0.0.1.1	b16:1.b1	b32:3		6				
KX394399.1	1.1.1.2.2.1	0.0.0.1.1.0	b16:1.q2	b32:3.b0		12		#dc322f		
n13	1.1.1.2.2.2	0.0.0.1.1.1	b16:1.q3	b32:3.b1		24				3
KX394402.1	1.1.1.2.2.2.1	0.0.0.1.1.1.0	b16:1.o6	b32:3.q2		0		#dc322f		
KX394400.1	1.1.1.2.2.2.2	0.0.0.1.1.1.1	b16:1.o7	b32:3.q3		0		#dc322f		
KX394401.1	1.1.1.2.2.2.3	0.0.0.1.1.1.0.0.1.0	b16:1C.q2	b32:3I		1		#dc322f		
n17	1.1.2	0.0.1	b16:.o1	b32:.o1		20				
n18	1.1.2.1	0.0.1.0	b16:2	b32:.h2		4				
KX394406.1	1.1.2.1.1	0.0.1.0.0	b16:2.b0	b32:4		1		#dc322f		
n20	1.1.2.1.2	0.0.1.0.1	b16:2.b1	b32:5		1				4
KX394393.1	1.1.2.1.2.1	0.0.1.0.1.0	b16:2.q2	b32:5.b0		0		#dc322f		
KX394403.1	1.1.2.1.2.2	0.0.1.0.1.1	b16:2.q3	b32:5.b1		0		#dc322f		
KX394407.1	1.1.2.1.2.3	0.0.1.0.1.0.0.1.0	b16:29.b0	b32:5.h2		1		#dc322f		
n24	1.1.2.1.2.4	0.0.1.0.1.0.0.1.1	b16:29.b1	b32:5.h3		1				
KX394392.1	1.1.2.1.2.4.1	0.0.1.0.1.0.0.1.1.0	b16:29.q2	b32:56		2		#dc322f		
KX394405.1	1.1.2.1.2.4.2	0.0.1.0.1.0.0.1.1.1	b16:29.q3	b32:57		0		#dc322f		
n27	1.1.2.2	0.0.1.1	b16:3	b32:.h3		1				3
KX394408.1	1.1.2.2.1	0.0.1.1.0	b16:3.b0	b32:6		9		#dc322f		
n29	1.1.2.2.2	0.0.1.1.1	b16:3.b1	b32:7		1				
KX394409.1	1.1.2.2.2.1	0.0.1.1.1.0	b16:3.q2	b32:7.b0		8		#dc322f		
KX394404.1	1.1.2.2.2.2	0.0.1.1.1.1	b16:3.q3	b32:7.b1		14		#dc322f		
n32	1.1.2.2.3	0.0.1.1.0.0.1.0	b16:32	b32:6.o2		30				
KX394410.1	1.1.2.2.3.1	0.0.1.1.0.0.1.0.0	b16:32.b0	b32:6.h4		15		#dc322f		
n34	1.1.2.2.3.2	0.0.1.1.0.0.1.0.1	b16:32.b1	b32:6.h5		44				
KX394383.1	1.1.2.2.3.2.1	0.0.1.1.0.0.1.0.1.0	b16:32.q2	b32:6A		15		#dc322f		
n36	1.1.2.2.3.2.2	0.0.1.1.0.0.1.0.1.1	b16:32.q3	b32:6B		8				
n37	1.1.2.2.3.2.2.1	0.0.1.1.0.0.1.0.1.1.0	b16:32.o6	b32:6B.b0		2				
n38	1.1.2.2.3.2.2.1.1	0.0.1.1.0.0.1.0.1.1.0.0	b16:32C	b32:6B.q0		24				
LC802098.1	1.1.2.2.3.2.2.1.1.1	0.0.1.1.0.0.1.0.1.1.0.0.0	b16:32C.b0	b32:6B.o0		2		#dc322f		
LC802099.1	1.1.2.2.3.2.2.1.1.2	0.0.1.1.0.0.1.0.1.1.0.0.1	b16:32C.b1	b32:6B.o1		2		#dc322f		
n41	1.1.2.2.3.2.2.1.2	0.0.1.1.0.0.1.0.1.1.0.1	b16:32D	b32:6B.q1		16				
KX394389.1	1.1.2.2.3.2.2.1.2.1	0.0.1.1.0.0.1.0.1.1.0.1.0	b16:32D.b0	b32:6B.o2		1		#dc322f		
n43	1.1.2.2.3.2.2.1.2.2	0.0.1.1.0.0.1.0.1.1.0.1.1	b16:32D.b1	b32:6B.o3		1				4
KX394384.1	1.1.2.2.3.2.2.1.2.2.1	0.0.1.1.0.0.1.0.1.1.0.1.1.0	b16:32D.q2	b32:6B.h6		1		#dc322f		
n45	1.1.2.2.3.2.2.1.2.2.2	0.0.1.1.0.0.1.0.1.1.0.1.1.1	b16:32D.q3	b32:6B.h7		1				
KX394387.1	1.1.2.2.3.2.2.1.2.2.2.1	0.0.1.1.0.0.1.0.1.1.0.1.1.1.0	b16:32D.o6	b32:6BE		1		#dc322f		
KX394388.1	1.1.2.2.3.2.2.1.2.2.2.2	0.0.1.1.0.0.1.0.1.1.0.1.1.1.1	b16:32D.o7	b32:6BF		1		#dc322f		
n48	1.1.2.2.3.2.2.1.2.2.3	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.0	b16:32D9.b0	b32:6BC.q2		2				
KX394385.1	1.1.2.2.3.2.2.1.2.2.3.1	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.0.0	b16:32D9.q0	b32:6BC.o4		2		#dc322f		
KX394386.1	1.1.2.2.3.2.2.1.2.2.3.2	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.0.1	b16:32D9.q1	b32:6BC.o5		2		#dc322f		
n51	1.1.2.2.3.2.2.1.2.2.4	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.1	b16:32D9.b1	b32:6BC.q3		2				3
KX394391.1	1.1.2.2.3.2.2.1.2.2.4.1	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.1.0	b16:32D9.q2	b32:6BC.o6		0		#dc322f		
KX394390.1	1.1.2.2.3.2.2.1.2.2.4.2	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.1.1	b16:32D9.q3	b32:6BC.o7		0		#dc322f		
KX394411.1	1.1.2.2.3.2.2.1.2.2.4.3	0.0.1.1.0.0.1.0.1.1.0.1.1.0.0.1.1.0.0.1.0	b16:32D99.b0	b32:6BCP.b0		2		#dc322f		
n55	1.1.2.2.3.2.2.2	0.0.1.1.0.0.1.0.1.1.1	b16:32.o7	b32:6B.b1		11				
KX394394.1	1.1.2.2.3.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.0	b16:32E	b32:6B.q2		49		#dc322f		
n57	1.1.2.2.3.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1	b16:32F	b32:6B.q3		1				
KX394381.1	1.1.2.2.3.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.0	b16:32F.b0	b32:6B.o6		18		#dc322f		
n59	1.1.2.2.3.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1	b16:32F.b1	b32:6B.o7		37				
KT934796.1	1.1.2.2.3.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.0	b16:32F.q2	b32:6B.he		49		#dc322f		
n61	1.1.2.2.3.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1	b16:32F.q3	b32:6B.hf		80				
n62	1.1.2.2.3.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.0	b16:32F.o6	b32:6BU		29				
GQ851603.1	1.1.2.2.3.2.2.2.2.2.2.1.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.0.0	b16:32FC	b32:6BU.b0		9		#dc322f		
KT934797.1	1.1.2.2.3.2.2.2.2.2.2.1.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.0.1	b16:32FD	b32:6BU.b1		7		#dc322f		
n65	1.1.2.2.3.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1	b16:32F.o7	b32:6BV		32				
n66	1.1.2.2.3.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.0	b16:32FE	b32:6BV.b0		46				
KT934798.1	1.1.2.2.3.2.2.2.2.2.2.2.1.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.0.0	b16:32FE.b0	b32:6BV.q0		19		#dc322f		
KX394395.1	1.1.2.2.3.2.2.2.2.2.2.2.1.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.0.1	b16:32FE.b1	b32:6BV.q1		3		#dc322f		
n69	1.1.2.2.3.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1	b16:32FF	b32:6BV.b1		17				
KT934799.1	1.1.2.2.3.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.0	b16:32FF.b0	b32:6BV.q2		40		#dc322f		
n71	1.1.2.2.3.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1	b16:32FF.b1	b32:6BV.q3		37				
KT934803.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.0	b16:32FF.q2	b32:6BV.o6		52		#dc322f		
n73	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1	b16:32FF.q3	b32:6BV.o7		25				
KT934800.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.0	b16:32FF.o6	b32:6BV.he		38		#dc322f		
n75	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1	b16:32FF.o7	b32:6BV.hf		19				
KT934802.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.0	b16:32FFE	b32:6BVU		41		#dc322f		
n77	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1	b16:32FFF	b32:6BVV		23				
KT934801.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.0	b16:32FFF.b0	b32:6BVV.b0		34		#dc322f		
