sample	hier_label	hier_label2	hier_label16	hier_label32	branch_length	_pt_highlight	user_colour	root_color
KX394397.1	1.1.1.1.1	0.0.0.0.0	b16:0.b0	b32:0	2		#dc322f	#dc322f
JX041628.1	1.2.1.1.1	0.1.0.0.0	b16:4.b0	b32:8	5		#268bd2	#268bd2
KC601756.1	1.2.2.2.1.1.1	0.1.1.1.0.0.0	b16:7.o0	b32:E.q0	127		#cb4b16	#cb4b16
MW915462.1	1.2.2.2.2.2.1.1	0.1.1.1.1.1.0.0	b16:7C	b32:F.o4	126		#d33682	#d33682
KY703854.1	1.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0	b16:7F.o4	b32:FU.b0	52		#6c71c4	#6c71c4
KU588135.1	1.2.2.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.1.1.0.0	b16:7FE.b0	b32:FV.o4	96		#b58900	#b58900
JN858069.1	1.2.2.2.2.2.2.2.2.3.2.3.1.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0.0	b16:7F948.b0	b32:FUA8.b0	3		#859900	#859900
DQ786573.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B.o4	b32:FUAB.o4	0		#3cb44b	#3cb44b
PX051445.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B.o6	b32:FUAB.o6	75		#4363d8	#4363d8
2025.EXT.1106.1850.2211	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.0	b16:7F94B92.b0	b32:FUABI.h4	89		#f58231	#f58231
JF719065.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0	b16:7F94B93.o4	b32:FUABIE.b0	0		#911eb4	#911eb4
MW835358.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.0	b16:7F94B93C	b32:FUABIF.q0	1		#42d4f4	#42d4f4
OM302319.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.0	b16:7F94B93E.b0	b32:FUABIF.o4	11		#f032e6	#f032e6
OM302322.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0	b16:7F94B94	b32:FUABI.o4	0		#bfef45	#bfef45
